district,date,hazard,any_flag,max_confidence,n_observations,n_triggered,message_en,message_ur,lat,lon
Abbottabad,20260828,cloud_burst,False,0.2,1,0,STUBBED: nearest available frame pair is 15 min apart (need <=20 min); this archive's cadence is too coarse to evaluate a genuine rate-of-change here. Detector logic is real and will fire once 15-min cadence MSG data is supplied.,ناکافی وقتی ریزولوشن -- 15 منٹ کے تسلسل والا ڈیٹا درکار ہے,34.1605847255359,73.19202830806569
Abbottabad,20260828,cold_wave,False,0.33,1,0,Mean clear-sky night skin temp 9.5 C -- above cold-wave threshold.,سردی کی لہر کی علامت نہیں,34.1605847255359,73.19202830806569
Abbottabad,20260828,dust_storm,False,0.5,8,0,No dust-storm signature detected.,دھول کے طوفان کی علامت نہیں,34.1605847255359,73.19202830806569
Abbottabad,20260828,fog,False,0.6,8,0,IR3.9-IR10.8 = -3.5 K -- outside the fog signature range.,دھند کی علامت نہیں,34.1605847255359,73.19202830806569
Abbottabad,20260828,frost,False,0.3,8,0,Not all three frost conditions met (no WRF wind data available).,پالے کی تمام شرائط پوری نہیں ہوئیں,34.1605847255359,73.19202830806569
Abbottabad,20260828,hail,False,0.0,8,0,Insufficient data (overshooting tops / glaciation ratio missing).,ناکافی ڈیٹا,34.1605847255359,73.19202830806569
Abbottabad,20260828,heat_wave,False,0.0,1,0,Not enough clear-sky multi-day skin-temperature data (0 of 0 available frames excluded as cloud-contaminated).,ناکافی صاف آسمان ڈیٹا,34.1605847255359,73.19202830806569
Abbottabad,20260828,heavy_rain,False,0.45,1,0,0/8 frames cold enough -- below persistence bar.,شدید بارش کی علامت نہیں,34.1605847255359,73.19202830806569
Abbottabad,20260828,residue_burning,False,0.5,8,0,Nighttime frame -- daytime fire hot-spot check not applicable.,رات کا وقت -- لاگو نہیں,34.1605847255359,73.19202830806569
Abbottabad,20260828,thunderstorm,False,0.6,8,0,No overshooting-top signature detected.,کوئی شدید کنویکشن کی علامت نہیں,34.1605847255359,73.19202830806569
Abbottabad,20260828,uv_index,False,0.5,8,0,Clear-sky/high-sun UV proxy conditions not met.,UV کی سطح زیادہ ہونے کی علامت نہیں,34.1605847255359,73.19202830806569
Astore,20260828,cloud_burst,False,0.0,1,0,STUBBED: no consecutive-frame pairs available at all for this location/period.,ڈیٹا دستیاب نہیں,35.28586115524103,74.83800669489396
Astore,20260828,cold_wave,False,0.0,1,0,Not enough clear-sky multi-day night skin-temperature data (0 of 0 available frames excluded as cloud-contaminated).,ناکافی صاف آسمان ڈیٹا,35.28586115524103,74.83800669489396
Astore,20260828,dust_storm,False,0.0,8,0,Dust-difference channels unavailable.,ڈیٹا دستیاب نہیں,35.28586115524103,74.83800669489396
Astore,20260828,fog,False,0.0,8,0,No IR3.9-IR10.8 data at this time/location.,ڈیٹا دستیاب نہیں,35.28586115524103,74.83800669489396
Astore,20260828,frost,False,0.0,8,0,MSG skin-temperature/cloud data unavailable.,ڈیٹا دستیاب نہیں,35.28586115524103,74.83800669489396
Astore,20260828,hail,False,0.0,8,0,Insufficient data (overshooting tops / glaciation ratio missing).,ناکافی ڈیٹا,35.28586115524103,74.83800669489396
Astore,20260828,heat_wave,False,0.0,1,0,Not enough clear-sky multi-day skin-temperature data (0 of 0 available frames excluded as cloud-contaminated).,ناکافی صاف آسمان ڈیٹا,35.28586115524103,74.83800669489396
Astore,20260828,heavy_rain,False,0.45,1,0,0/8 frames cold enough -- below persistence bar.,شدید بارش کی علامت نہیں,35.28586115524103,74.83800669489396
Astore,20260828,residue_burning,False,0.5,8,0,Nighttime frame -- daytime fire hot-spot check not applicable.,رات کا وقت -- لاگو نہیں,35.28586115524103,74.83800669489396
Astore,20260828,thunderstorm,False,0.0,8,0,No convection data at this time/location.,اس وقت/مقام کے لیے کنویکشن ڈیٹا دستیاب نہیں,35.28586115524103,74.83800669489396
Astore,20260828,uv_index,False,0.0,8,0,No MSG cloud data available.,ڈیٹا دستیاب نہیں,35.28586115524103,74.83800669489396
Attock,20260828,cloud_burst,False,0.2,1,0,STUBBED: nearest available frame pair is 15 min apart (need <=20 min); this archive's cadence is too coarse to evaluate a genuine rate-of-change here. Detector logic is real and will fire once 15-min cadence MSG data is supplied.,ناکافی وقتی ریزولوشن -- 15 منٹ کے تسلسل والا ڈیٹا درکار ہے,33.4813328137528,72.33571528950687
Attock,20260828,cold_wave,False,0.33,1,0,Mean clear-sky night skin temp 11.9 C -- above cold-wave threshold.,سردی کی لہر کی علامت نہیں,33.4813328137528,72.33571528950687
Attock,20260828,dust_storm,False,0.5,8,0,No dust-storm signature detected.,دھول کے طوفان کی علامت نہیں,33.4813328137528,72.33571528950687
Attock,20260828,fog,False,0.6,8,0,IR3.9-IR10.8 = -2.9 K -- outside the fog signature range.,دھند کی علامت نہیں,33.4813328137528,72.33571528950687
Attock,20260828,frost,False,0.3,8,0,Not all three frost conditions met (no WRF wind data available).,پالے کی تمام شرائط پوری نہیں ہوئیں,33.4813328137528,72.33571528950687
Attock,20260828,hail,False,0.0,8,0,Insufficient data (overshooting tops / glaciation ratio missing).,ناکافی ڈیٹا,33.4813328137528,72.33571528950687
Attock,20260828,heat_wave,False,0.0,1,0,Not enough clear-sky multi-day skin-temperature data (0 of 0 available frames excluded as cloud-contaminated).,ناکافی صاف آسمان ڈیٹا,33.4813328137528,72.33571528950687
Attock,20260828,heavy_rain,False,0.45,1,0,0/8 frames cold enough -- below persistence bar.,شدید بارش کی علامت نہیں,33.4813328137528,72.33571528950687
Attock,20260828,residue_burning,False,0.5,8,0,Nighttime frame -- daytime fire hot-spot check not applicable.,رات کا وقت -- لاگو نہیں,33.4813328137528,72.33571528950687
Attock,20260828,thunderstorm,False,0.6,8,0,No overshooting-top signature detected.,کوئی شدید کنویکشن کی علامت نہیں,33.4813328137528,72.33571528950687
Attock,20260828,uv_index,False,0.5,8,0,Clear-sky/high-sun UV proxy conditions not met.,UV کی سطح زیادہ ہونے کی علامت نہیں,33.4813328137528,72.33571528950687
Awaran,20260828,cloud_burst,False,0.2,1,0,STUBBED: nearest available frame pair is 15 min apart (need <=20 min); this archive's cadence is too coarse to evaluate a genuine rate-of-change here. Detector logic is real and will fire once 15-min cadence MSG data is supplied.,ناکافی وقتی ریزولوشن -- 15 منٹ کے تسلسل والا ڈیٹا درکار ہے,26.255203421584145,65.47340353192104
Awaran,20260828,cold_wave,False,0.33,1,0,Mean clear-sky night skin temp 21.0 C -- above cold-wave threshold.,سردی کی لہر کی علامت نہیں,26.255203421584145,65.47340353192104
Awaran,20260828,dust_storm,False,0.5,8,0,No dust-storm signature detected.,دھول کے طوفان کی علامت نہیں,26.255203421584145,65.47340353192104
Awaran,20260828,fog,False,0.6,8,0,IR3.9-IR10.8 = -2.9 K -- outside the fog signature range.,دھند کی علامت نہیں,26.255203421584145,65.47340353192104
Awaran,20260828,frost,False,0.3,8,0,Not all three frost conditions met (no WRF wind data available).,پالے کی تمام شرائط پوری نہیں ہوئیں,26.255203421584145,65.47340353192104
Awaran,20260828,hail,False,0.0,8,0,Insufficient data (overshooting tops / glaciation ratio missing).,ناکافی ڈیٹا,26.255203421584145,65.47340353192104
Awaran,20260828,heat_wave,False,0.0,1,0,Not enough clear-sky multi-day skin-temperature data (0 of 0 available frames excluded as cloud-contaminated).,ناکافی صاف آسمان ڈیٹا,26.255203421584145,65.47340353192104
Awaran,20260828,heavy_rain,False,0.45,1,0,0/8 frames cold enough -- below persistence bar.,شدید بارش کی علامت نہیں,26.255203421584145,65.47340353192104
Awaran,20260828,residue_burning,False,0.5,8,0,Nighttime frame -- daytime fire hot-spot check not applicable.,رات کا وقت -- لاگو نہیں,26.255203421584145,65.47340353192104
Awaran,20260828,thunderstorm,False,0.6,8,0,No overshooting-top signature detected.,کوئی شدید کنویکشن کی علامت نہیں,26.255203421584145,65.47340353192104
Awaran,20260828,uv_index,False,0.5,8,0,Clear-sky/high-sun UV proxy conditions not met.,UV کی سطح زیادہ ہونے کی علامت نہیں,26.255203421584145,65.47340353192104
Azad Kashmir,20260828,cloud_burst,False,0.0,1,0,STUBBED: no consecutive-frame pairs available at all for this location/period.,ڈیٹا دستیاب نہیں,34.146982309891136,74.09745165177677
Azad Kashmir,20260828,cold_wave,False,0.0,1,0,Not enough clear-sky multi-day night skin-temperature data (0 of 0 available frames excluded as cloud-contaminated).,ناکافی صاف آسمان ڈیٹا,34.146982309891136,74.09745165177677
Azad Kashmir,20260828,dust_storm,False,0.0,8,0,Dust-difference channels unavailable.,ڈیٹا دستیاب نہیں,34.146982309891136,74.09745165177677
Azad Kashmir,20260828,fog,False,0.0,8,0,No IR3.9-IR10.8 data at this time/location.,ڈیٹا دستیاب نہیں,34.146982309891136,74.09745165177677
Azad Kashmir,20260828,frost,False,0.0,8,0,MSG skin-temperature/cloud data unavailable.,ڈیٹا دستیاب نہیں,34.146982309891136,74.09745165177677
Azad Kashmir,20260828,hail,False,0.0,8,0,Insufficient data (overshooting tops / glaciation ratio missing).,ناکافی ڈیٹا,34.146982309891136,74.09745165177677
Azad Kashmir,20260828,heat_wave,False,0.0,1,0,Not enough clear-sky multi-day skin-temperature data (0 of 0 available frames excluded as cloud-contaminated).,ناکافی صاف آسمان ڈیٹا,34.146982309891136,74.09745165177677
Azad Kashmir,20260828,heavy_rain,False,0.45,1,0,0/8 frames cold enough -- below persistence bar.,شدید بارش کی علامت نہیں,34.146982309891136,74.09745165177677
Azad Kashmir,20260828,residue_burning,False,0.5,8,0,Nighttime frame -- daytime fire hot-spot check not applicable.,رات کا وقت -- لاگو نہیں,34.146982309891136,74.09745165177677
Azad Kashmir,20260828,thunderstorm,False,0.0,8,0,No convection data at this time/location.,اس وقت/مقام کے لیے کنویکشن ڈیٹا دستیاب نہیں,34.146982309891136,74.09745165177677
Azad Kashmir,20260828,uv_index,False,0.0,8,0,No MSG cloud data available.,ڈیٹا دستیاب نہیں,34.146982309891136,74.09745165177677
Badin,20260828,cloud_burst,False,0.2,1,0,STUBBED: nearest available frame pair is 15 min apart (need <=20 min); this archive's cadence is too coarse to evaluate a genuine rate-of-change here. Detector logic is real and will fire once 15-min cadence MSG data is supplied.,ناکافی وقتی ریزولوشن -- 15 منٹ کے تسلسل والا ڈیٹا درکار ہے,24.721969980491448,68.83381906213141
Badin,20260828,cold_wave,False,0.33,1,0,Mean clear-sky night skin temp 13.8 C -- above cold-wave threshold.,سردی کی لہر کی علامت نہیں,24.721969980491448,68.83381906213141
Badin,20260828,dust_storm,False,0.5,8,0,No dust-storm signature detected.,دھول کے طوفان کی علامت نہیں,24.721969980491448,68.83381906213141
Badin,20260828,fog,False,0.6,8,0,IR3.9-IR10.8 = -7.6 K -- outside the fog signature range.,دھند کی علامت نہیں,24.721969980491448,68.83381906213141
Badin,20260828,frost,False,0.3,8,0,Not all three frost conditions met (no WRF wind data available).,پالے کی تمام شرائط پوری نہیں ہوئیں,24.721969980491448,68.83381906213141
Badin,20260828,hail,False,0.0,8,0,Insufficient data (overshooting tops / glaciation ratio missing).,ناکافی ڈیٹا,24.721969980491448,68.83381906213141
